tconst,title,release_date,runtime,vote_average,averageRating,genres,actors,directors,writers,producer,production_companies,original_language,overview,keywords,poster_path,popularity
tt3707086,Maya Lord,Unknown,0.0,0.0,Unknown,"Action, History",Unknown,Roland Emmerich,"John Coe Robbins, Angela Workman","Marco Shepherd, Carsten H.W. Lorenz, Roland Emmerich",Centropolis Entertainment,en,"The story of 16th century Spaniard, Gonzalo Guerrero, who was held captive by a Mayan tribe and eventually converts to their ways and beliefs and fights for them against the Spanish.",Unknown,Unknown,5.006
tt31630905,Jake Paul vs. Mike Tyson,2024-11-15,0.0,0.0,Unknown,Action,"Ashton Sylve, Jake Paul, Katie Taylor, Darren Till, Floyd Schofield, Amanda Serrano, Julio Cesar Chavez Jr., Mike Tyson",Unknown,Unknown,Unknown,Most Valuable Promotions,en,"Jake Paul squares off against Mike Tyson as they headline this can't-miss live heavyweight boxing mega-event from AT&T Stadium in Arlington, Texas.","live broadcast, boxing",Unknown,5.006
tt5930062,EFC,Unknown,90.0,0.0,Unknown,Drama,"Karlee Rose, Gino Bravo, Kathryn Aboya, Stephanie Jones, Avaah Blackwell, Alex Cruz, Rocco Farella, Richard Zeppieri, Andrea Drepaul, Nabil Dalle",Jaze Bordeaux,"Jaze Bordeaux, Greg Jackson, Obediya W. Jones-Darrell","Jaze Bordeaux, Ilham Aragrag, Gino Bravo",Universe Pictures Group,en,"Riding off the heels of her sister Scarlett’s championship legacy, Cassady Jones is now the EFC Champion and the new face of women’s mixed martial arts.  Alexa Star begins to rise quickly through the ranks with fervor to become the number one contender for the EFC championship. With ripples of excitement and anticipation, Cassady and Alexa collide for the first time only to find themselves in a melee that shocks the entire sports world, while leaving EFC in the most tumultuous period of its history.  As Donna and Nikki fight to keep the floundering EFC alive, majority shareholder Frank Russo recruits John David for one last strike at liquidating and selling off the assets of the company while dissolving the only women’s mixed martial arts promotion in the country. With the future of the company at stake, the fight for EFC isn’t just another fight, it’s the fight for everything.","strong woman, female athlete, boxing, women fighters, women in film",/yDt4UrDKRsfg6v5hsYOUOL9vPN5.jpg,5.019
tt4269346,Moose Jaws,2024-08-22,0.0,0.0,Unknown,"Comedy, Horror","Genesis Rodriguez, Jason Mewes, Harley Quinn Smith, Kevin Smith, Harley Morenstein",Kevin Smith,Kevin Smith,Unknown,Unknown,en,"In a post apocalyptic Canada, the jawbone of the majestic moose has become the most coveted form of barter due to its capabilities as a multi-purpose tool and weapon. One moose has had enough. The great white north is about to be reclaimed by nature.",Unknown,/gyvwDUpc84qn5xhI7RPOgElhD1R.jpg,5.02
tt4968738,Sons of the Neon Night,Unknown,0.0,0.0,Unknown,"Action, Crime, Thriller","Kara Wai Ying-Hung, Philippe Joly, Takeshi Kaneshiro, Louis Koo, Jiang Peiyao, Lo Hoi-pang, Michelle Wai, Tony Leung Ka-fai, Wilson Lam, Kristy Yang, Richie Jen, Wyman Wong Wai-Man, Hee Ching Paw, Lowell Lo Koon-Ting, Conan Lee, Carl Ng, Gao Yuanyuan, John Ching Tung, Lau Ching-wan, Wang Deshun, Lam Ka-tung",Juno Mak,"Chou Man-Yu, Juno Mak",Unknown,Unknown,cn,"A detective goes against the successor to a drug-trafficking crime syndicate, who aspires for a society free of drugs by orchestrating anarchy in Hong Kong.",drug crime,/mini5t3eavhgv0dDgGl9sWxnoQq.jpg,5.022
tt14301644,BRZRKR,Unknown,0.0,0.0,Unknown,Action,Keanu Reeves,Mattson Tomlin,Mattson Tomlin,Keanu Reeves,Unknown,en,"The story is about an immortal warrior’s 80,000-year fight through the ages. The man known only as “B” is half-mortal and half-god, cursed and compelled to violence… even at the sacrifice of his sanity. But after wandering the earth for centuries, B may have finally found a refuge – working for the U.S. government to fight the battles too violent and too dangerous for anyone else. In exchange, B will be granted the one thing he desires – the truth about his endless blood-soaked existence…and how to end it.","immortality, based on comic",Unknown,5.022
tt17501870,High Forces,2024-09-30,115.0,0.0,Unknown,"Action, Crime","Liu Zhibing, Zhang Yang, Junyu Sheng, Zheng Zhongyu, Guo Xiaodong, Zhang Yao, Jiang Mengjie, Gao Shuguang, Eric Chou, Ni Kexin, Bai Ge, Li Bin, Qu Chuxiao, Yu Jie Ping, David Wang, Jiang Chao, Zhong Lei, Wang Longzheng, Cheng Tao, Ning Xiaohua, Andy Lau, Liu Tao, Zhang Zifeng",Oxide Chun Pang,"Yu Bai, Sun Chan","Andy Lau, Alvin Lam","寰宇娱乐有限公司, Tianjin Maoyan Weiying Culture Media, 广州市英明文化传播有限公司, Tao Piao Piao, 华文映像影视传媒有限公司, Weibo Corporation",zh,"""Anyone? There is ......"" A mysterious message from Gao Haojun comes from ten thousand meters in the air. A five-star A380 ultra-luxury airliner was hijacked on its international maiden voyage, and international security expert Gao Haojun stood up to a group of thugs, his daughter Xiaojun was trapped in the cabin, and Mike, the leader of the hijackers, threatened the lives of more than 800 people in the plane as a bargaining chip, and Xiaojun's mother, Fu Yuan, was also in danger. ...... Will the passengers on board be able to land safely and how should this crisis be resolved?",灾难,/64DqGv8ZbuGVzLHYrxKCgnNL1yC.jpg,5.025
Unknown,BanG Dream! It's MyGO!!!!! Movie 2,2024-11-08,0.0,0.0,Unknown,"Music, Animation","Rin Tateishi, Coco Hayashi, Hina Youmiya, Hina Aoki, Mika Kohinata",Unknown,Unknown,Unknown,Sanzigen,ja,Theatrical compilation of BanG Dream! It's MyGO!!!!!,Unknown,/lKt9txvcCsURPeOHqvNLqqDBc3J.jpg,5.026
Unknown,Given The Movie : Umi e,2024-09-20,0.0,0.0,Unknown,"Animation, Romance","Yuma Uchida, Fumiya Imai, Takuya Eguchi, Taito Ban, Shogo Yano, Masatomo Nakazawa, Shintaro Asanuma",Noriko Hashimoto,"Natsuki Kizu, Yuniko Ayana",Unknown,"Aniplex, Lerche, Shinshokan",ja,Unknown,"based on manga, anime",/sqW1Dm3N8EWPlTAXHle95ZUi86Q.jpg,5.033
tt24850708,The Gunslingers,2025-01-10,0.0,0.0,Unknown,"Action, Western","Tzi Ma, Scarlet Rose Stallone, Costas Mandylor, Mohamed Karim, Bre Blair, Jeremy Kent Jackson, Heather Graham, Stephen Dorff, Elisabetta Fantone, Nicolas Cage, Randall Batinkoff, Mitchell Hoog, William McNamara, Cooper Barnes",Brian Skiba,Brian Skiba,Brian Skiba,"5150 Action, Grindstone Entertainment Group, Skibavision",en,"In a town named redemption, reformed gunslinger Keller and mad genius Ben are guided by spiritual leader Jericho towards vindication. While confronting their violent histories, their newfound peace is challenged by violence and revenge.",Unknown,Unknown,5.035
